[meta]
key,value
version,1.0
stepCount,12
outputCol,11
savedAt,2026-03-23T19:01:01.857Z

[ladder]
rung,type,comment,s0,v0,s1,v1,s2,v2,s3,v3,s4,v4,s5,v5,s6,v6,s7,v7,s8,v8,s9,v9,s10,v10,s11
0,main,Input(X) to Output(Y),contact_a:X0,,line,,line,,line,,line,,line,,line,,line,,line,,line,,line,,output:Y0
1,main,Input(X) to Memory(M),contact_a:X1,,line,,line,,line,,line,,line,,line,,line,,line,,line,,line,,output:M1
2,main,Memory(M) to Output(Y),contact_a:M1,,line,,line,,line,,line,,line,,line,,line,,line,,line,,line,,output:Y1
3,main,Timer,contact_a:X2,,line,,line,,line,,line,,line,,line,,line,,line,,line,,line,,output:T1
4,main,Reset Timer,contact_a:X3,,line,,line,,line,,line,,line,,line,,line,,line,,line,,line,,rst:T1
5,main,Counter,contact_a:X4,,line,,line,,line,,line,,line,,line,,line,,line,,line,,line,,output:C1
6,main,Reset Counter,contact_a:X5,,line,,line,,line,,line,,line,,line,,line,,line,,line,,line,,rst:C1

[variables]
name,comment,preset
C1,,3
M1,,
T1,,3000
X0,,
X1,,
X2,,
X3,,
X4,,
X5,,
Y0,,
Y1,,
